,derived_msa-md,derived_loan_product_type,derived_ethnicity,derived_race,derived_sex,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,hoepa_status,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,income,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,submission_of_application,initially_payable_to_institution,aus-1,denial_reason-1,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,action_taken
0,16940,0,1,1,0,0,2,1,1,1,2,2,2,65000,2,2,2,2,2,2,1,2,1,20,8,10,2,5,2,4,5,8,2,4,2,5,2,4,2,2,6,10,5283,11,76700,138,1702,1910,19,1
1,99999,0,1,1,1,0,2,1,1,1,1111,1111,1111,885000,2,1111,1111,1111,1111,1,1,1111,1111,311,1111,1111,2,5,2,4,5,8,2,4,1,5,2,4,1111,1111,1111,10,2396,23,79700,107,316,862,32,1
2,16940,0,0,1,1,0,2,1,1,1,2,2,2,145000,2,2,2,2,2,2,1,1,1,34,9,10,1,5,2,4,5,8,2,4,1,5,2,4,2,1,6,10,8158,9,76700,113,2682,3341,23,1
3,16220,0,0,1,1,0,2,1,1,1,2,2,2,145000,2,2,2,2,2,1,1,3,5,68,3,10,1,5,2,4,5,8,2,4,1,5,2,4,2,1,6,10,7178,6,75800,95,2007,3182,44,1
4,99999,0,1,1,2,0,2,1,1,1,2,2,2,115000,2,2,2,2,2,1,1,3,5,133,3,9,2,2,2,2,5,5,2,2,1,2,2,2,1,1,6,10,2749,14,79700,98,751,1281,50,1
5,16940,2,1,1,1,2,2,3,32,1,2,2,2,175000,2,2,2,2,2,1,1,3,5,80,3,10,2,5,2,4,5,8,2,4,1,5,2,4,1,1,1,10,3717,36,76700,92,1006,1347,40,1
6,16940,0,1,1,2,0,1,1,1,1,2,2,2,235000,2,2,2,2,2,1,1,3,5,70,2,3,2,2,2,2,5,5,2,2,1,2,2,2,1,1,1,10,4351,15,76700,104,1042,1504,40,1
7,16220,0,1,1,2,3,2,1,1,1,2,2,2,65000,2,2,2,2,2,1,2,3,5,176,3,3,2,2,2,2,5,5,2,2,1,2,2,2,1,1,1,10,2686,11,75800,70,541,1059,40,1
8,16940,2,1,1,2,2,1,3,1,1,2,2,2,495000,2,2,2,2,2,1,1,3,5,118,1,3,2,2,2,2,5,5,2,2,1,2,2,2,1,1,1,10,4686,12,76700,152,1751,1966,36,1
9,16220,2,1,1,1,0,2,3,1,1,2,2,2,115000,3,2,2,2,2,1,1,3,5,24,1,10,2,5,2,4,5,8,2,4,1,5,2,4,1,3,1,2,4341,9,75800,99,1422,1914,57,0
